id,question,cot,answer,unit
LD385,Three charges q1 = q2 = 2.15 × 10^-6 C and q3 = 4.76 × 10^-6 C are placed at the three vertices of an equilateral triangle with a side length of 9.78 cm. Calculate the net electric field strength at the position of q3. Give your answer rounded to two decimal places.,"Step 1: Identify the given values and constants. The charges producing the field at the position of q3 are q1 = 2.15 × 10⁻⁶ C and q2 = 2.15 × 10⁻⁶ C. The side length of the equilateral triangle is s = 9.78 cm. Coulomb's constant k = 8.99 × 10⁹ N·m²/C².
Step 2: Convert the side length to meters. r = s = 9.78 cm = 0.0978 m. This is the distance from q1 to q3, and from q2 to q3.
Step 3: Calculate the magnitude of the electric field E1 at the position of q3 due to q1.
E1 = (8.99 × 10⁹ · 2.15 × 10⁻⁶) / 0.0978² ≈ 2.021 × 10⁶ V/m.
Step 4: Calculate the magnitude of the electric field E2 at the position of q3 due to q2. Since q1 = q2 and the distances are equal:
E2 = E1 ≈ 2.021 × 10⁶ V/m.
Step 5: Determine the angle between the two electric field vectors. In an equilateral triangle, the internal angles are 60°. The electric field vectors E1 and E2 point directly away from q1 and q2 respectively, so the angle between them is also 60°.
Step 6: Calculate the net electric field strength using the formula for two equal vectors with an angle of 60°: E_net = 2 · E1 · cos(60°/2).
cos(30°) = √3 / 2 ≈ 0.866.
Step 7: Perform the final calculation for the magnitude of the net electric field.
E_net = 2 · (2.021 × 10⁶) · 0.866 ≈ 3.50 × 10⁶ V/m.",3.50 × 10^6,V/m
TD186,A parallel-plate air capacitor has a plate area of 49.2 cm² and a plate separation of 1.61 mm. Calculate its capacitance. Give your answer rounded to two decimal places.,"Step 1: Convert units to SI. The area A = 49.2 · 10⁻⁴ m² and the separation d = 1.61 · 10⁻³ m.
Step 2: State the formula C = (ε₀ · A) / d, where ε₀ ≈ 8.854 · 10⁻¹² F/m.
Step 3: Substitute the values into the formula.
C = [(8.854 · 10⁻¹² F/m) · (49.2 · 10⁻⁴ m²)] / (1.61 · 10⁻³ m) ≈ 27.06 pF",27.060,pF
QA5488,"A car travels along a straight road AB for a total time t. The speed of the car during the first half of the time is 40 km/h, and during the second half of the time is 50 km/h. Calculate the average speed over the entire path.","Step 1: Identify the velocity parameters. First half of the time: v₁ = 40 km/h. Second half of the time: v₂ = 50 km/h.
Step 2: Set up the average velocity formula (v_avg). Because the travel times at each speed are equal (t₁ = t₂ = t/2), we have: v_avg = (s₁ + s₂)/t = (v₁·t/2 + v₂·t/2)/t = (v₁ + v₂)/2.
Step 3: Substitute the given values into the formula. v_avg = (40 + 50)/2.
Step 4: Calculate the final result. v_avg = 45 (km/h).",,
LD200,"Two electric forces have magnitudes of 5 N and 6 N, and act at an angle of 45° to each other. Calculate the resultant force of these two forces.","Step 1: Identify the magnitudes of the two electric forces and the angle between them.
Step 2: The first force (F1) has a magnitude of 5 N.
Step 3: The second force (F2) has a magnitude of 6 N.
Step 4: The angle (θ) between the two forces is 45°.
Step 5: The magnitude of the resultant force of these two electric forces is approximately 10.1699 N.",10.1699,N
CH183,"At resonance, what is the total impedance Z of a series RLC circuit with R = 60 Ω?","Step 1: The circuit is a series RLC circuit operating at resonance.
Step 2: The total impedance Z for a series RLC circuit is generally given by Z = √(R² + (ZL - ZC)²), where R is resistance, ZL is inductive reactance, and ZC is capacitive reactance.
Step 3: At resonance, the inductive reactance (ZL) is equal to the capacitive reactance (ZC), which means (ZL - ZC) = 0.
Step 4: Substituting the resonance condition into the impedance formula simplifies it to Z = √(R² + 0²) = √(R²) = R = 60 Ω.",60,Ω
QA8003453,"A pump with a piston area of 8 cm² and a stroke length of 25 cm is used to inflate a ball.
Initially, the ball contains air at atmospheric pressure, p₀ = 10⁵ Pa, and has an initial volume, V₀ = 1500 cm³.
After 10 pump strokes, the volume of the ball becomes 2000 cm³.
Assuming the pumping process is isothermal (constant temperature), what is the pressure of the air inside the ball after pumping?","Step 1: Calculate the volume of air added after 10 pump strokes. Volume per stroke (V_p): V_p = S·h = 8·25 = 200 (cm³). Total air volume at atmospheric pressure p₀ added after 10 strokes: V_added = 10·V_p = 2000 (cm³).
Step 2: Determine the total initial air state (at pressure p₀). The total air volume (existing air in the balloon plus the added air) at p₀ = 10⁵ Pa is: V_total = V₀ + V_added = 1500 + 2000 = 3500 (cm³).
Step 3: Set up the isothermal equation (p₁V₁ = p₂V₂). After pumping, the entire amount of air is compressed into the final balloon volume V_after = 2000 (cm³): p₀·V_total = p_after·V_after ⇒ 10⁵ · 3500 = p_after · 2000.
Step 4: Compute the final pressure. p_after = (10⁵ · 3500) / 2000 = 1.75 · 10⁵ (Pa).",,
DDT391,A solenoid has 1600 turns and a length of 0.8 m. Calculate the number of turns per unit length.,"Step 1: Identify the given values from the question: the number of turns is N = 1600 turns and the length of the solenoid is L = 0.8 m.
Step 2: Recall the formula for the number of turns per unit length: n = N / L.
Step 3: Substitute the given values into the formula: n = 1600 turns / 0.8 m.
Step 4: Final conclusion: the number of turns per unit length of the solenoid is n = 2000 turns/m.",2000,turns/m
QA8002206,"A boat travels 150 km downstream and then 80 km upstream. The total time taken for the entire journey is 9 hours. Calculate the speed of the boat in still water, knowing that the speed of the water current is 5 km/h.","Step 1: Identify the given information: downstream distance = 150 km, upstream distance = 80 km, total time = 9 hours, speed of water current = 5 km/h. The unknown is the speed of the boat in still water.
Step 2: Let V_boat be the speed of the boat in still water. The speed downstream is (V_boat + 5) km/h, and the speed upstream is (V_boat - 5) km/h.
Step 3: The time taken for the downstream journey is 150 / (V_boat + 5) hours. The time taken for the upstream journey is 80 / (V_boat - 5) hours.
Step 4: The total time is the sum of the downstream time and upstream time: Total Time = [150 / (V_boat + 5)] + [80 / (V_boat - 5)].",,
NL331,A capacitor with a capacitance of 8 µF is charged to 250 V. What is the electric field energy (J)?,"Step 1: Identify the given capacitance C = 8 µF and voltage U = 250 V.
Step 2: Convert the capacitance from microfarads (µF) to farads (F): C = 8 µF = 8 * 10^-6 F.
Step 3: Recall the formula for the electric field energy (W_C) stored in a capacitor: W_C = (1/2) * C * U².
Step 4: Substitute the converted capacitance and given voltage into the energy formula: W_C = (1/2) * 8 * 10^-6 * 250² = 0.25 J.",0.25,J
DT046,"A charge q = 10^-7 C is placed in the electric field of a point charge Q, and experiences a force F = 3 mN. Calculate the electric field strength at the point where charge q is placed, given that the two charges are separated by a distance of 30 cm in a vacuum.","Step 1: Identify the known values from the question: the test charge q and the force F it experiences.
Step 2: Convert the given force from millinewtons (mN) to Newtons (N).
Step 3: State the formula for electric field strength E, which is the force F experienced by a test charge q divided by the magnitude of the test charge.
Step 4: Substitute the known values of F (in N) and q (in C) into the formula.
Step 5: The electric field strength at the point where charge q is placed is 3 × 10^4 V / m.",3 . 10^4,V/m
QA3039,"A car starts moving from rest with constant acceleration and travels a distance of 90m in 6s.
a/ Calculate the acceleration of the car.
b/ Calculate the speed of the car at the end of those 6 seconds.","Step 1: Identify the given information: initial velocity (u) = 0 m/s (starts from rest), distance (s) = 90 m, time (t) = 6 s.
Step 2: To calculate the acceleration (a), use the kinematic equation: s = ut + (1/2)at².
Step 3: Substitute the known values: 90 m = (0 m/s)(6 s) + (1/2)a(6 s)². This simplifies to 90 = (1/2)a(36), so 90 = 18a.
Step 4: Solve for acceleration: a = 90 / 18 = 5 m/s².",,
QA3717,"The car was traveling at a speed of 36 km/h when it began to descend a hill. However, due to brake failure, the car moved with constant acceleration down the entire 960 m long slope, with an acceleration of 0.2 m/s².
a) Calculate the time it takes for the car to travel down the entire slope.
b) What is the car's velocity at the end of the slope?","Step 1: Identify the given values from the question: initial speed (u) = 36 km/h, acceleration (a) = 0.2 m/s², and displacement (s) = 960 m.
Step 2: Convert the initial speed from km/h to m/s: u = 36 km/h * (1000 m / 1 km) * (1 h / 3600 s) = 10 m/s.
Step 3: To find the time (t), use the kinematic equation s = ut + (1/2)at².
Step 4: Substitute the known values into the equation: 960 m = (10 m/s)t + (1/2)(0.2 m/s²)t².",,
CH100,An electrical circuit needs to resonate at f=50 Hz. The capacitor C=200 μF. What inductor L should be chosen?,"Step 1: Identify the given resonant frequency f = 50 Hz and capacitance C = 200 μF.
Step 2: Note the formula for the resonant frequency of an LC circuit: `f = 1 / (2π√(LC))`.
Step 3: Rearrange the formula to solve for inductance (L): `L = 1 / (4π²f²C)`.
Step 4: Convert the capacitance to Farads: `C = 200 μF = 200 * 10⁻⁶ F` and solve: L = 1 / (4π² * 50² * 200 * 10⁻⁶) = 0.05 H.",0.05,H
DDT142,"If the current through the solenoid decreases uniformly from 3 A to 0 A in 0.01 s, and the self-inductance of the solenoid is 0.2 H, what is the induced electromotive force?","Step 1: Identify the given values: initial current I_initial = 3 A, final current I_final = 0 A, time interval dt = 0.01 s, and self-inductance L = 0.2 H.
Step 2: Calculate the change in current, dI = I_final - I_initial.
Step 3: dI = 0 A - 3 A = -3 A.
Step 4: The rate of change of current is dI/dt.
Step 5: Recall the formula for the induced electromotive force (EMF) in an inductor: E = -L * (dI/dt).
Step 6: Substitute the values into the formula: E = -0.2 * (-3 / 0.01).
Step 7: Perform the calculation: E = -0.2 * (-300) = 60 V.",60,V
LD065,"Two point charges, q1 = 0.5 nC and q2 = –0.5 nC, are placed at two points A and B, separated by 6 cm in air. What is the magnitude of the electric field strength at point M, which is located on the perpendicular bisector of AB, at a distance ℓ = 4 cm from the midpoint of AB?","Step 1: Identify the given values and convert them to SI units.
Step 2: Determine the distances from each charge to point M.
Step 3: Calculate the magnitude of the electric field due to each charge at point M.
Step 4: Determine the directions of the electric field vectors.
Step 5: Apply the principle of superposition and calculate the resultant magnitude.
Step 6: The magnitude of the electric field strength at point M is 2160 V/m.",2160,V/m
LD225,"Two electric charges q1 = +1 × 10^-6 C and q2 = -1 × 10^-6 C are placed at two points A and B, separated by 10 cm. A third charge q3 = -1 × 10^-6 C is placed at the midpoint of AB. Calculate the electric force acting on q3.","Step 1: Identify the given charges and their values: q1 = +1 × 10^-6 C, q2 = -1 × 10^-6 C, q3 = -1 × 10^-6 C.
Step 2: Determine the distances. Charges q1 and q2 are separated by 10 cm (0.1 m). Charge q3 is placed at the midpoint, so the distance from q1 to q3 (r13) is 0.05 m, and the distance from q2 to q3 (r23) is also 0.05 m.
Step 3: Calculate the force F13 exerted by q1 on q3. Since q1 is positive and q3 is negative, the force is attractive. F13 = k * |q1 * q3| / r13^2 = (9 × 10^9 N m^2/C^2) * |(1 × 10^-6 C) * (-1 × 10^-6 C)| / (0.05 m)^2 = 3.6 N. This force acts towards q1.
Step 4: Calculate the force F23 exerted by q2 on q3. Since q2 is negative and q3 is negative, the force is repulsive. F23 = k * |q2 * q3| / r23^2 = (9 × 10^9 N m^2/C^2) * |(-1 × 10^-6 C) * (-1 × 10^-6 C)| / (0.05 m)^2 = 3.6 N. This force acts away from q2, which is also towards q1.
Step 5: The magnitude of the net electric force acting on q3 is 7.2 N.",7.2,N
TD171,An air parallel-plate capacitor has a plate area of 47.8 cm² and a plate separation of 1.87 mm. Calculate its capacitance. Give your answer rounded to two decimal places.,"Step 1: Convert units to SI. The area A = 47.8 · 10⁻⁴ m² and the separation d = 1.87 · 10⁻³ m.
Step 2: State the formula C = (ε₀ · A) / d, where ε₀ ≈ 8.854 · 10⁻¹² F/m.
Step 3: Substitute the values into the formula.
C = [(8.854 · 10⁻¹² F/m) · (47.8 · 10⁻⁴ m²)] / (1.87 · 10⁻³ m) ≈ 22.63 pF",22.63,pF
LD023,"Two forces act on a charge. They are collinear and act in opposite directions, with magnitudes of 15 N and 9 N. Calculate the magnitude and direction of the resultant force.","Step 1: The problem states two forces are collinear and act in opposite directions.
Step 2: To find the magnitude of the resultant force when two forces act in opposite directions, subtract the smaller magnitude from the larger magnitude.
Step 3: Calculate the magnitude: 15 N9 N = 6 N.
Step 4: The direction of the resultant force is the same as the direction of the force with the larger magnitude.",6,N
DT025,"Given two point charges located along the Ox axis: charge q1 = -9 x 10^-6 C is placed at the origin O, and charge q2 = 4 x 10^-6 C is located 20 cm from the origin. What is the coordinate on the Ox axis where the electric field strength is zero?","Step 1: Identify the given charges and their positions.
Step 2: Determine the possible regions where the net electric field can be zero.
Step 3: Set up the equation for the magnitudes of the electric fields.
Step 4: Substitute the values into the magnitude equality equation.
Step 5: The electric field strength is zero at x = 60 cm.",60,cm
QA2167,"Two charges, `q` and `-q`, are placed at points A and B respectively, separated by a distance `AB = 2d`. A positive charge `q1 = q` is placed on the perpendicular bisector of the line segment AB, at a distance `x` from AB.
a) Determine the net electric force acting on `q1`.
b) Apply the following values: `q = 48 * 10^-6 C`; `d = 6 cm`; `x = 8 cm`.","Step 1: Identify the charges and their positions. Charge `q` is at A, charge `-q` is at B, with `AB = 2d`. Charge `q1 = q` is on the perpendicular bisector of AB, at a distance `x` from AB. Let the midpoint of AB be the origin `(0,0)`, then A is at `(-d, 0)`, B is at `(d, 0)`, and `q1` is at `(0, x)`.
Step 2: Calculate the distance `r` from A to `q1` and from B to `q1`. Due to symmetry, these distances are equal: `r = √(d² + x²)`.
Step 3: Determine the electric force `F_A1` exerted by `q` (at A) on `q1` (at `(0,x)`) and the electric force `F_B1` exerted by `-q` (at B) on `q1`. The magnitude of both forces is `F = k * |q * q1| / r² = k * q² / (d² + x²)`, where `k` is Coulomb's constant (`k = 9 * 10^9 N m²/C²`).
Step 4: Resolve the forces into components. The force `F_A1` is repulsive and points from A to `q1`. The force `F_B1` is attractive and points from `q1` to B. Let the line AB be along the x-axis and the perpendicular bisector be along the y-axis.",,
TD044,A parallel-plate air capacitor has a plate area of 21.2 cm² and a plate separation of 1.17 mm. Calculate the capacitance of the capacitor.,"Step 1: Identify the given values: A = 21.2 cm^2, d = 1.17 mm.
Step 2: Convert the units to SI: A = 21.2 × 10^-4 m^2 and d = 1.17 × 10^-3 m.
Step 3: Recall the capacitance formula for a parallel-plate capacitor: C = κ * ε₀ * (A / d), where ε₀ is the permittivity of free space (approximately 8.854 × 10⁻¹² F/m for air).
Step 4: The capacitance of the capacitor is approximately 16.04 pF.",16.04,pF
LD368,"Two electric charges, q1 = 4.59 × 10^-6 C and q2 = 2.85 × 10^-6 C, are each located 5.60 cm from point M. The electric fields they produce at M are perpendicular to each other (form a 90° angle). Calculate the magnitude of the total electric field at M. Give your answer rounded two decimal places.","Step 1: Identify the given values: charge q1 = 4.59 × 10⁻⁶ C, charge q2 = 2.85 × 10⁻⁶ C, distance r = 5.60 cm, and the angle between fields is 90°.
Step 2: Convert the distance r from centimeters to meters: r = 0.0560 m.
Step 3: State the value for Coulomb's constant: k = 9.0 × 10⁹ N·m²/C².
Step 4: Calculate the magnitude of the electric field E1 produced by charge q1 at point M.
E1 = (9.0 × 10⁹ * 4.59 × 10⁻⁶) / 0.0560² = 41310 / 0.003136 ≈ 13172831.63 V/m.
Step 5: Calculate the magnitude of the electric field E2 produced by charge q2 at point M.
E2 = (9.0 × 10⁹ * 2.85 × 10⁻⁶) / 0.0560² = 25650 / 0.003136 ≈ 8179209.18 V/m.
Step 6: Determine the magnitude of the total electric field at M using the Pythagorean theorem for perpendicular vectors.
Enet = √(E1² + E2²) = √(13172831.63² + 8179209.18²) ≈ 15.51 × 10⁶ V/m.",15.51 × 10^6,V/m
NL128,"In an LC circuit, at the moment the energy in the inductor (W_L) is ⅓ of the total energy, what percentage (%) is the energy in the capacitor (W_C) (round the result to the nearest whole number)?","Step 1: In an ideal LC circuit, the total energy (E_total) is conserved and is the sum of the energy in the inductor (W_L) and the energy in the capacitor (W_C).
Step 2: The problem states that the energy in the inductor (W_L) is ⅓ of the total energy (E_total).
Step 3: Using the conservation of energy, the energy in the capacitor (W_C) is E_total - W_L = E_total - ⅓ E_total = ⅔ E_total.
Step 4: To express W_C as a percentage of the total energy, convert the fraction ⅔ to a percentage. ⅔ * 100 % ≈ 67 %.",67,%
DDT322,What is the RMS current in an RLC circuit with a total impedance Z = 50 Ω and an RMS voltage of 100 V?,"Step 1: Identify the given values from the problem. The total impedance of the circuit is Z = 50 Ω and the RMS voltage is V_RMS = 100 V. The goal is to calculate the RMS current I_RMS.
Step 2: Identify the relationship between RMS voltage, RMS current, and impedance in an AC circuit. The relationship follows the AC form of Ohm’s Law: V_{RMS} = I_{RMS} Z
Step 3: Rearrange the formula to solve for the RMS current. Dividing both sides by Z gives I_RMS = V_RMS / Z.
Step 4: Substitute the given values into the formula. I_RMS = 100 V / 50 Ω.
Step 5: Perform the calculation. 100 V / 50 Ω = 2.0 A.
Step 6: State the final conclusion. The RMS current in the circuit is I_RMS = 2.0 A.",2.0,A
NL376,"An ideal LC circuit has a total oscillation energy of 0.4 J. When the electric field energy is 0.16 J, what is the instantaneous voltage across the capacitor with a capacitance of 20 µF?","Step 1: Identify the given parameters: total energy W = 0.4 J, instantaneous electric field energy W_C = 0.16 J, and capacitance C = 20 µF. (Note: The total energy is extra information not needed to find the voltage).
Step 2: Convert the capacitance to standard SI units: C = 20 * 10⁻⁶ F.
Step 3: State the formula for the energy stored in the electric field of a capacitor: W_C = (1/2) * C * V², where V is the instantaneous voltage.
Step 4: Rearrange the formula to solve for the square of the voltage (V²): V² = (2 * W_C) / C.
Step 5: Substitute the given values into the rearranged formula: V² = (2 * 0.16) / (20 * 10⁻⁶).
Step 6: Calculate the numerator: 2 * 0.16 = 0.32.
Step 7: Perform the division: V² = 0.32 / (20 * 10⁻⁶) = 16000.
Step 8: Take the square root to find the instantaneous voltage: V = √16000 ≈ 126.491 V.
Step 9: Round to two decimal places: V = 126.49 V.",126.49,V
LD084,Three identical charges Q are fixed at the three vertices of an equilateral triangle with side 'a'. What is the magnitude of the electric field intensity at the center of the triangle?,"Step 1: Identify the three identical charges Q located at the vertices of an equilateral triangle.
Step 2: Identify the point of interest as the geometric center of the equilateral triangle.
Step 3: Note that the distance from each vertex (where a charge is located) to the center of an equilateral triangle is identical.
Step 4: Since the charges are identical (Q) and their distances to the center are equal, the magnitude of the electric field produced by each individual charge at the center will be the same.
Step 5: Determine the direction of the three electric field vectors at the center. Due to the symmetry of the equilateral triangle, these three vectors make angles of 120° with each other.
Step 6: Apply the principle of superposition: The vector sum of three equal vectors forming 120° angles is always zero E1 + E2 + E3 = 0.
Step 7: The magnitude of the electric field intensity at the center of the triangle is 0 V/m.",0,V/m
QA2499,An object falls freely from a height h to the ground. What is the formula to calculate the velocity v of the free-falling object?,"Step 1: Identify the type of motion, which is free fall, meaning the object is under constant acceleration due to gravity, g, and starts with an initial velocity of zero.
Step 2: Recall the kinematic equation that relates final velocity (v), initial velocity (u), acceleration (a), and displacement (s). A suitable equation is v² = u² + 2as.
Step 3: Substitute the knowns into the equation: initial velocity u = 0, acceleration a = g, and displacement s = h.
Step 4: Substitute these values into the kinematic equation: v² = (0)² + 2gh.",,
LD104,"Two charges q1 = -8 × 10^-7 C and q2 = -9 × 10^-7 C are placed at points A and B, respectively, 12 cm apart in air. A charge q3 = +7 × 10^-7 C is placed at point C, such that the distance from C to A is 6 cm and from C to B is 6 cm. Calculate the net electric force acting on q3.","Step 1: Identify the given charges and distances.
Step 2: Convert distances from centimeters to meters.
Step 3: Recognize that points A, C, and B are collinear since AC + CB = AB (6 cm + 6 cm = 12 cm).
Step 4: Calculate the magnitude of the electric force F13 exerted by q1 on q3 using Coulomb's Law, F = k * |q1 * q3| / r^2, where k = 9 × 10^9 N·m²/C².
Step 5: The magnitude of the net electric force acting on q3 is exactly 0.175 N.",0.175,N
CH069,A circuit has a capacitor C = 25 μF. What inductance L is required for it to resonate at 100 Hz?,"Step 1: The given capacitance C is 25 μF, which is 25 * 10⁻⁶ F.
Step 2: The desired resonant frequency f is 100 Hz.
Step 3: The formula for the resonant frequency of an LC circuit is f = 1 / (2π√(LC)).
Step 4: To solve for L, rearrange the formula: L = 1 / (4π² * f² * C) = 1 / (4π² * 100² * 25 * 10⁻⁶) = 101.32 mH.",101.32,mH
QA543,Consider a wire loop whose plane makes an angle α with vector B. From...,"Step 1: The image shows a wire loop with area S.
Step 2: The image shows a magnetic field vector B.
Step 3: The image shows an angle α between the plane of the loop and the magnetic field vector B.
Step 4: The provided question ""Từ"" is an incomplete sentence.",,
NL375,A capacitor has a maximum charge of 1.5 mC and a capacitance of 6 µF. Calculate the maximum electric field energy.,"Step 1: Identify the given parameters: maximum charge Q_max = 1.5 mC and capacitance C = 6 µF.
Step 2: Convert the given values to standard SI units: Q_max = 1.5 * 10⁻³ C and C = 6 * 10⁻⁶ F.
Step 3: State the formula for the maximum electric field energy of a capacitor: W_max = Q_max² / (2 * C).
Step 4: Substitute the converted values into the formula: W_max = (1.5 * 10⁻³)² / (2 * 6 * 10⁻⁶).
Step 5: Calculate the square of the maximum charge: (1.5 * 10⁻³)² = 2.25 * 10⁻⁶.
Step 6: Calculate the denominator: 2 * 6 * 10⁻⁶ = 12 * 10⁻⁶.
Step 7: Perform the division: W_max = (2.25 * 10⁻⁶) / (12 * 10⁻⁶) = 2.25 / 12.
Step 8: Calculate the final result: W_max = 0.1875 J.",0.1875,J
QA2510,A particle undergoes simple harmonic motion satisfying the relation (v²/640) + (x²/16) = 1. Calculate the period of oscillation of the particle.,"Step 1: The general equation for simple harmonic motion relating velocity (v) and position (x) is (v²/v_max²) + (x²/A²) = 1, where A is the amplitude and v_max is the maximum speed.
Step 2: Compare the given equation (v²/640) + (x²/16) = 1 with the general form.
Step 3: From the comparison, A² = 16, so the amplitude A = √16 = 4.
Step 4: From the comparison, v_max² = 640, so the maximum speed v_max = √640 = √(64 * 10) = 8√10.",,
TD387,"A capacitor C = 5 μF is charged to 20 V. It is then connected in series with an uncharged capacitor C'. The entire circuit has a total voltage of 20 V. If the final charge on C is 30 μC, find C'.","Step 1: Identify the final charge on C as Q = 30 μC.
Step 2: Calculate the final voltage across C: V_C = Q / C = 30 μC / 5 μF = 6 V.
Step 3: Use the series rule for voltage: V_total = V_C + V_C'.
Step 4: Solve for the voltage across C': V_C' = 20 V - 6 V = 14 V.
Step 5: Since capacitors in series have the same charge, Q_C' = 30 μC.
Step 6: Calculate C': C' = Q_C' / V_C' = 30 μC / 14 V ≈ 2.14 μF.",2.140,μF
CH167,An RMS voltage U = 75 V is applied to a series RLC circuit with R = 50 Ω that is currently at resonance. Calculate the maximum power dissipation Pmax.,"Step 1: Identify the given RMS voltage (U) and resistance (R).
Step 2: Recognize that at resonance in a series RLC circuit, the total impedance (Z) is equal to the resistance (R) and the power factor (cos φ) is 1.
Step 3: State the formula for maximum power dissipation (P_max) at resonance, which is P_max = U² / R.
Step 4: Substitute the given values into the formula and calculate the maximum power: P = 75² / 50 = 112.5 W.",112.5,W
QA3657,"Two motorbikes are traveling at a constant speed from A to B, a distance of 75km. Motorbike I has a speed of 15 km/h and travels continuously without stopping. Motorbike II starts 1 hour earlier but takes a 2-hour break along the way. What speed must Motorbike II travel at to arrive at B at the same time as Motorbike I?","Step 1: Calculate the time taken for Motorbike I to travel from A to B.
Step 2: Determine the total elapsed time for Motorbike II from its start until it arrives at B, considering it starts 1 hour earlier than Motorbike I and arrives at the same time.
Step 3: Calculate the actual riding time for Motorbike II, by subtracting its break time from its total elapsed time.
Step 4: Calculate the required speed for Motorbike II using its actual riding time and the total distance.",,
CH379,"A circuit has R = 50 Ω, XL = 60 Ω, XC = 30 Ω (not in resonance). Calculate the total impedance Z.","Step 1: Identify the given resistance R and reactances XL and XC from the question.
Step 2: Recall the formula for the total impedance Z of a series RLC circuit: Z = √[R² + (XL - XC)²].
Step 3: Calculate the difference between the inductive reactance XL and the capacitive reactance XC.
Step 4: Substitute the values of R and (XL - XC) into the impedance formula. Then, Z = 58.31 Ω.",58.31,Ω
CH345,"L = 0.15 H, C = 60 µF. Calculate the resonant frequency.","Step 1: Identify the given values from the question: Inductance L = 0.15 H and Capacitance C = 60 µF.
Step 2: Convert the capacitance from microfarads to farads: C = 60 × 10⁻⁶ F.
Step 3: State the formula for the resonant frequency (f) of an LC circuit: f = 1 / (2π√(LC)).
Step 4: Substitute the values of L and C into the formula: f = 1 / (2π√(0.15 H × 60 × 10⁻⁶ F)) = 53.05 Hz.",51.05,Hz
LD337,"Two point charges, q1 = -5.3 × 10^-6 C and q2 = -1.2 × 10^-6 C, are separated by a distance of 7.5 cm. Point M lies on the perpendicular bisector of the line segment connecting q1 and q2 (let's call this segment AB), and is located 3.8 cm away from AB. Calculate the resultant electric field strength at point M. Give your answer rounded two decimal places.","Step 1: Convert given distances from centimeters to meters. Separation distance AB = 7.5 cm (0.075 m). Vertical distance to M is y = 3.8 cm (0.038 m).
Step 2: Calculate the distance (r) from each charge to point M using the Pythagorean theorem. The horizontal distance from each charge to the midpoint is x = 0.0375 m.
r = √(x² + y²) = √((0.0375)² + (0.038)²) = √(0.00285025) = 0.0533877... m.
Step 3: Calculate the magnitude of the electric field (E1) produced by charge q1 at point M using Coulomb's constant k = 8.99 × 10⁹ N·m²/C². Rounding up the fourth digit after the decimal:
E1 = (8.99 × 10⁹ * 5.3 × 10⁻⁶) / 0.00285025 = 1.6717 × 10⁷ V/m.
Step 4: Calculate the magnitude of the electric field (E2) produced by charge q2 at point M.
E2 = (8.99 × 10⁹ * 1.2 × 10⁻⁶) / 0.00285025 = 0.3785 × 10⁷ V/m.
Step 5: Determine the components of the electric fields. Both charges are negative, so E1 points toward q1 and E2 points toward q2. Let φ be the angle between the horizontal axis AB and the line r.
cos(φ) = x / r = 0.0375 / 0.0533877... = 0.7024
sin(φ) = y / r = 0.038 / 0.0533877... = 0.7118
Step 6: Calculate the net horizontal (Ex) and vertical (Ey) components.
E1x = -E1 * cos(φ) = -1.6717 * 0.7024 = -1.1742 × 10⁷ V/m.
E2x = +E2 * cos(φ) = +0.3785 * 0.7024 = +0.2659 × 10⁷ V/m.
E1y = -E1 * sin(φ) = -1.6717 * 0.7118 = -1.1900 × 10⁷ V/m.
E2y = -E2 * sin(φ) = -0.3785 * 0.7118 = -0.2695 × 10⁷ V/m.
Ex_net = E1x + E2x = -1.1742 + 0.2659 = -0.9083 × 10⁷ V/m.
Ey_net = E1y + E2y = -1.1900 - 0.2695 = -1.4595 × 10⁷ V/m.
Step 7: Calculate the resultant electric field strength E_net at M.
E_net = √((Ex_net)² + (Ey_net)²)
√((-0.9083)² + (-1.4595)²) * 10⁷ = √(0.8250 + 2.1301) * 10⁷ = √(2.9551) * 10⁷ ≈ 1.72 × 10⁷ V/m.",1.72*10^7,V/m
LD105,"Two electric charges q1 = +4 × 10^-8 C and q2 = +9 × 10^-8 C are placed at two points A and B, 5 cm apart, in the air. A third charge q3 = -9 × 10^-8 C is placed at point C, given that the distance from C to A is 3 cm and from C to B is 4 cm. Calculate the net electrostatic force acting on q3.","Step 1: Convert given distances from centimeters to meters and state the value of Coulomb's constant (k).
Step 2: Check the geometric relationship between points A, B, and C using the given distances.
Step 3: Calculate the magnitude of the electrostatic force (F13) exerted by q1 on q3 using Coulomb's Law.
Step 4: Calculate the magnitude of the electrostatic force (F23) exerted by q2 on q3 using Coulomb's Law.
Step 5: The magnitude of the net electrostatic force acting on q3 is approximately 0.058 N.",0.058,N
DDT330,"In an RLC circuit, Z_L = 70 Ω and Z_C = 50 Ω. What is the circuit's characteristic?","Step 1: Identify the given values from the problem: the inductive reactance is Z_L = 70 Ω and the capacitive reactance is Z_C = 50 Ω.
Step 2: Recall the rule used to determine the characteristic of an RLC circuit: if Z_L > Z_C the circuit is inductive, if Z_L < Z_C the circuit is capacitive, and if Z_L = Z_C the circuit is at resonance.
Step 3: Compare the given reactances: Z_L = 70 Ω and Z_C = 50 Ω, therefore 70 Ω > 50 Ω and Z_L > Z_C.
Step 4: Determine the dominant reactance in the circuit: since the inductive reactance is greater than the capacitive reactance, the inductive effect dominates.
Step 5: State the final conclusion: the circuit exhibits an inductive characteristic.",the circuit exhibits an inductive characteristic,—
